,total_return,cagr,volatility,sharpe,sortino,max_drawdown,win_rate,num_trades,final_equity
Buy & Hold,3.443311839906368,0.3464967242128574,0.27446955873338136,1.0412890178381502,1.7947668074538328,-0.23145807689603726,,0.0,444331.1839906368
Trend Following,0.3131354399510895,0.05584585797036179,0.10656793134199993,0.17719016291704356,0.29115200337429187,-0.17655223059987457,0.47368421052631576,19.0,131313.54399510895
Mean Reversion,0.6891100104677694,0.1102313042907963,0.08800676562265437,0.7454259499162167,1.49646157112253,-0.07180581073000858,1.0,5.0,168911.00104677695
Custom Triple Confirmation,0.11867700468990616,0.022623272731817856,0.09977018332639379,-0.1267747294313288,-0.1882884894667852,-0.18852314705417494,0.5454545454545454,22.0,111867.70046899062
