,total_return,cagr,volatility,sharpe,sortino,max_drawdown,win_rate,num_trades,final_equity
Buy & Hold,51.87632194159431,17.043869403019155,1.0023229347782177,3.411411763565808,5.394551591568323,-0.47513959053443233,,0.0,5287632.194159431
Trend Following,8.573914035380742,4.191052082419174,0.7035231949988323,2.6968527994754785,3.3327820075241656,-0.2654625075688095,0.625,8.0,957391.4035380742
Mean Reversion,0.315489569566888,0.22129256388294394,0.22829186496416518,0.994868506419715,0.3442146972711037,-0.18965517241379304,1.0,1.0,131548.9569566888
Custom Triple Confirmation,1.9601701703033299,1.206020855958231,0.43214678641985976,2.0454266622090573,1.826282722680687,-0.1645973015478852,0.6666666666666666,3.0,296017.017030333
