,total_return,cagr,volatility,sharpe,sortino,max_drawdown,win_rate,num_trades,final_equity
Buy & Hold,0.4433291429914967,0.07598882899755388,0.2686091142045966,0.4082298370137199,0.5853826039470497,-0.37132486388384756,,0.0,144332.91429914968
Trend Following,0.12593428737602874,0.023956475970834612,0.08237588287426661,0.32996698812482955,0.1707258395306073,-0.15507362398199354,0.5882352941176471,17.0,112593.42873760287
Mean Reversion,0.2094303492944911,0.03868133602707169,0.10729782476718694,0.4088194798017945,0.1831771356301692,-0.2573931178310741,0.6666666666666666,3.0,120943.0349294491
Custom Triple Confirmation,0.3010191103534525,0.05392546382373542,0.08269231154855618,0.6793481268852604,0.4214980162690348,-0.1118503847640705,0.5714285714285714,14.0,130101.91103534524
