,total_return,cagr,volatility,sharpe,sortino,max_drawdown,win_rate,num_trades,final_equity
Buy & Hold,1.1657192476344331,0.16676364726858406,0.275347324576657,0.6999293549283335,1.014522489676187,-0.33246601941747567,,0.0,216571.92476344333
Trend Following,0.01708348034471996,0.0033866191053206762,0.09480078727602809,0.08332424286687673,0.05710452916449525,-0.13795077468066896,0.5333333333333333,30.0,101708.348034472
Mean Reversion,0.17549316610920118,0.032797654558820444,0.13835124527930026,0.3025266807440928,0.17998817575244402,-0.2513309991625772,0.8,5.0,117549.31661092011
Custom Triple Confirmation,0.18936582573612748,0.03521897587517797,0.09721667042693505,0.406827396354954,0.21485534787408853,-0.2539804531914419,0.36363636363636365,22.0,118936.58257361274
