,total_return,cagr,volatility,sharpe,sortino,max_drawdown,win_rate,num_trades,final_equity
Buy & Hold,-0.6561352947628187,-0.19198963186068807,0.5328123333171361,-0.14206718261523663,-0.19511697798496527,-0.8640213588657706,,0.0,34386.470523718126
Trend Following,-0.08881056301678936,-0.018401510524160614,0.14625703030099593,-0.05348109396180838,-0.02515445609835962,-0.19324515330886427,0.3076923076923077,13.0,91118.94369832106
Mean Reversion,-0.39188511241493296,-0.0945549788221497,0.3137309555627062,-0.14763772857757154,-0.10645033252110783,-0.7138937258228533,0.7,10.0,60811.488758506704
Custom Triple Confirmation,-0.10654236843086484,-0.02224621656271064,0.10899956459227526,-0.15239383992681232,-0.0584830374955038,-0.22865673749918924,0.42857142857142855,7.0,89345.76315691351
